,Company_0,Company_1,Company_2,Company_3,Company_4,Company_5,Company_6,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Resell Price,Top Speed,M_P,Category,0-60 Time,Drag,Log 0-60,Country_0,Country_1,Country_2,Country_3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33858.32,200.9,1.4260876233660742,1,11.5,False,2.4423470353692043,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2989.28,158.5,1.2703314675650534,1,8.8,False,2.174751721484161,0,0,0,1
2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,35049.16,149.5,1.2296463705081928,0,14.4,False,2.667228206581955,0,0,1,0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8236.15,153.3,1.2468394241164125,0,11.5,False,2.4423470353692043,0,0,0,1
4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,32765.76,122.0,1.111247511114699,0,14.9,False,2.7013612129514133,0,0,1,1
5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,38576.59,182.7,1.3620823057949238,2,9.6,False,2.2617630984737906,0,0,1,1
6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,27962.25,231.8,1.5413658719817624,2,5.3,True,1.667706820558076,0,0,0,1
7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,29157.95,144.1,1.221693190098491,1,4.7,True,1.547562508716013,0,0,1,1
8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,31062.38,223.3,1.511563968311796,2,5.8,True,1.7578579175523736,0,0,1,1
9,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,45892.79,170.4,1.3297637536688967,2,4.1,True,1.410986973710262,0,0,0,1
10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4740.87,135.4,1.1748510116792885,1,8.9,False,2.186051276738094,0,0,0,1
11,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,16358.27,136.4,1.1922943495549538,1,4.1,True,1.410986973710262,0,0,1,1
12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,40650.31,213.9,1.5025320509308506,2,2.5,True,0.9162907318741551,0,0,1,0
13,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,33634.37,134.1,1.1807428166643996,1,4.4,True,1.4816045409242156,0,0,0,1
14,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,9279.51,248.7,1.5907211410733395,2,7.3,False,1.9878743481543455,0,0,1,1
15,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,41916.47,245.6,1.596574806638661,2,3.4,True,1.2237754316221157,0,0,0,1
16,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,32280.44,159.8,1.276315369396058,1,8.2,False,2.1041341542702074,0,0,1,1
17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20175.47,185.6,1.3808694277926306,2,5.4,True,1.6863989535702288,0,0,0,1
18,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,49656.3,120.6,1.1058726207556953,0,13.0,False,2.5649493574615367,0,1,0,0
19,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,21985.35,136.6,1.1805247325773114,1,8.5,False,2.1400661634962708,0,0,0,1
20,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,31655.99,125.2,1.1274026347271358,0,11.8,False,2.468099531471619,0,0,0,1
21,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,36647.24,175.4,1.3326511133013816,1,12.1,False,2.4932054526026954,0,0,1,1
22,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,23681.6,143.7,1.2064416559715883,0,13.0,False,2.5649493574615367,0,0,1,1
23,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,5938.36,155.0,1.2744017245047556,1,3.4,True,1.2237754316221157,0,0,1,0
24,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,27403.55,126.2,1.1326469928579488,0,10.8,False,2.379546134130174,0,0,1,1
25,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,43216.49,245.1,1.5727612345475765,1,13.9,False,2.631888840136646,0,1,0,1
26,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,33514.28,247.5,1.587297779297481,2,7.1,False,1.9600947840472698,0,0,1,1
27,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,43289.16,248.2,1.6017522369383226,2,3.8,True,1.33500106673234,0,0,1,1
28,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,6753.2,120.3,1.1090086886069206,1,8.2,False,2.1041341542702074,0,1,1,0
29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,31158.31,220.2,1.5095547697649894,2,3.9,True,1.3609765531356006,0,0,1,1
30,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,48912.1,205.3,1.4566388925760911,2,4.2,True,1.4350845252893227,0,0,1,1
31,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,39275.37,185.2,1.3781234462066647,2,5.8,True,1.7578579175523736,0,0,1,1
32,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,12622.44,130.6,1.1713749987443607,1,3.5,True,1.252762968495368,0,0,1,1
33,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,44991.92,140.7,1.1974062632328768,1,8.9,False,2.186051276738094,0,0,0,1
34,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,42102.6,208.9,1.4756403611708109,2,3.3,True,1.1939224684724346,0,1,1,1
35,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,35681.18,230.7,1.531701679995878,2,7.8,False,2.0541237336955462,0,0,1,1
36,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,11061.65,132.6,1.159394749386814,0,12.7,False,2.5416019934645457,0,0,1,1
37,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,23777.88,224.7,1.516241045754604,2,5.8,True,1.7578579175523736,0,0,1,1
38,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,12498.33,177.8,1.3412906798106943,1,12.7,False,2.5416019934645457,0,0,1,1
39,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,2386.28,160.8,1.2772437106583943,1,10.9,False,2.388762789235098,0,0,1,0
40,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,25108.18,138.3,1.1882053259885823,1,8.2,False,2.1041341542702074,0,0,1,1
